sentiment,text
negative,I'm sad about what happened.
positive,This is the best day ever!
neutral,I'm just sitting at home.
negative,Totally heartbroken today.
positive,Feeling amazing and blessed!
neutral,Going to work now.
negative,Worst service ever!
positive,So grateful for this life.
positive,Loving the weather today!
negative,Lost my phone again...
neutral,Just reading the news.
neutral,What a regular day.
positive,Won the jackpot!!!
negative,Nothing seems to work.
neutral,Waiting for the bus.
